provider_id	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
320009	262725753.00	2085	126007.555396	0.106525
450702	261672746.00	1670	156690.267066	0.077866
260095	261125600.00	2360	110646.440678	0.083639
50238	261081265.00	2599	100454.507503	0.107245
100040	259532252.00	2974	87267.065232	0.135481
60014	259183971.00	616	420753.199675	0.068038
30085	258472288.00	2506	103141.375898	0.100277
360079	257761040.00	3765	68462.427623	0.167218
340115	256850770.00	4825	53233.320207	0.177009
100051	256701793.00	3481	73743.692330	0.099100
50043	254349479.00	3134	81158.097958	0.199873
50135	253585724.00	4793	52907.515961	0.215899
460009	252662064.00	4880	51775.013115	0.317916
220074	252152366.00	9461	26651.766832	0.318284
330185	251961568.00	3289	76607.348130	0.155053
310017	251469166.00	2866	87742.207258	0.108047
300029	250843295.00	2346	106923.825661	0.113226
260040	250266863.00	4808	52052.176165	0.197192
50169	249928058.00	2318	107820.559965	0.113171
30002	249065992.00	2301	108242.499783	0.181517
310010	248352785.00	3709	66959.499865	0.145444
230156	248095972.00	7150	34698.737343	0.259194
110008	248041905.00	3281	75599.483389	0.136159
260141	247747148.00	3532	70143.586636	0.187097
430077	247715382.00	4381	56543.113901	0.237459
370037	247559384.00	3895	63558.250064	0.183648
140258	247397986.00	3850	64259.217143	0.180215
420023	246959377.00	4085	60455.171848	0.138134
100135	246610700.00	3509	70279.481334	0.152132
230053	246468421.00	4147	59432.944538	0.275364
100062	246042680.00	3196	76984.568210	0.111477
100281	246025085.00	2342	105049.139624	0.093562
140053	245638615.00	4030	60952.509926	0.172761
500014	245457965.00	3624	67731.226545	0.171649
490067	244202051.00	2327	104942.866781	0.087072
500058	243520216.00	4484	54308.701160	0.202215
260020	243171229.00	5850	41567.731453	0.233410
30006	242164312.00	5144	47077.043546	0.227784
420002	242109125.00	2595	93298.314066	0.093333
10131	241330849.00	1628	148237.622236	0.056993
450237	239980035.00	4368	54940.484203	0.175807
390326	239936846.00	3123	76828.961255	0.119084
500129	239616348.00	3614	66302.254566	0.199758
460010	239286042.00	3715	64410.778466	0.206449
340098	239093920.00	4318	55371.449745	0.149088
110074	239004380.00	4375	54629.572571	0.181531
450675	238820902.00	1608	148520.461443	0.080640
220077	238739428.00	10466	22810.952417	0.440159
340001	238663625.00	4344	54940.981814	0.171875
340114	238474869.00	6723	35471.496207	0.248064
250004	237979148.00	6185	38476.822635	0.248011
140117	237911815.00	2945	80784.996604	0.152906
330005	237841023.00	5718	41595.142183	0.306371
350011	236784184.00	6255	37855.185292	0.270756
130006	233727073.00	3796	61571.937039	0.192899
100191	233205424.00	1779	131087.928049	0.069363
50290	232774681.00	3399	68483.283613	0.199520
190002	232228169.00	3920	59241.879847	0.158242
110161	232108279.00	2537	91489.270398	0.167201
30061	231976887.00	3729	62208.872888	0.159135
50581	231339846.00	1040	222442.159615	0.076488
150044	230964018.00	3572	64659.579507	0.126307
500064	230682497.00	1851	124625.876283	0.211956
140202	230266840.00	4216	54617.371917	0.164813
390139	230033638.00	3598	63933.751529	0.147736
360163	229770701.00	3805	60386.518003	0.213487
30065	229653951.00	3375	68045.615111	0.173329
100057	229178053.00	4643	49359.908034	0.157756
50283	228907869.00	1592	143786.349874	0.133730
500030	228730757.00	3386	67551.906970	0.175474
310069	228504099.00	3440	66425.610174	0.152490
50099	228429335.00	2128	107344.612312	0.105852
440015	226992079.00	5774	39312.795116	0.260797
330023	226054240.00	5750	39313.780870	0.314983
50424	225942286.00	1620	139470.546914	0.136831
500005	224918734.00	2922	76974.241615	0.219375
50678	224139057.00	1865	120181.800000	0.109749
180040	224012484.00	3408	65731.362676	0.195307
310070	223970652.00	1493	150013.832552	0.081446
140015	223929340.00	3510	63797.532764	0.151023
30011	222689941.00	1178	189040.696944	0.070403
50336	222520901.00	1630	136515.890184	0.095913
380018	221688844.00	3020	73406.901987	0.209068
500050	220468704.00	2940	74989.355102	0.185631
100166	220015221.00	1994	110338.626379	0.075908
10055	219320334.00	1961	111841.067823	0.077599
500027	218306092.00	2380	91725.248739	0.160834
140252	217401467.00	7225	30090.168443	0.259268
50444	217369560.00	2161	100587.487274	0.128907
